typo,orig,historique
RUE HALLE,"Jean Noël Hallé (1754-1822), médecin ; voisinage de l'asile Sainte-Anne.","Précédemment, avenue de la Santé, entre les rues de la Tombe Issoire et Du Couédic ; rue Neuve Saint-Jacques, entre les rues Du Couédic et Rémy Dumoncel ; avenue du Capitaine, entre les rue Rémy Dumoncel et du Commandeur."
RUE DU LOIRET,Département ; voisinage du chemin de fer qui le dessert.,"Précédemment, partie du chemin du Chevaleret et antérieurement, rue de la Belle Epine. Cette voie figure à l'état de chemin sur le plan de Roussel (1730)."
RUE DE LUBECK,"Victoire de Lübeck, remportée sur les Prussiens, les 6 et 7 novembre 1806.",La partie entre les rues Boissière et de Longchamp existait en 1789 à l'état de sentier.
RUE D'ARGENSON,"Famille qui a donné à la France plusieurs administrateurs et hommes d'état : Marc René de Voyer, marquis d'Argenson (1652-1721), lieutenant général de police et ministre d'Etat ; René Louis, marquis d'Argenson (1694-1757), ministre des Affaires étrangères, auteur de célèbres mémoires ; Marc Pierre, comte d'Argenson (1696-1764), ministre de la Guerre.",Précédemment partie de la rue de la Ville l'Evêque.
RUE BRISEMICHE,Cette voie doit sa dénomination aux pains que l'on distribuait aux chanoines de la collégiale de Saint-Merri.,"La partie qui s'étendait entre les rues Saint-Merri et Simon Le Franc a été déclassée par arrêté du 13 août 1971 et supprimée en 1972 pour la réalisation du centre national d'art contemporain, dans le cadre de l'aménagement du secteur des Halles. Cette partie était dénommée rue du Poirier en 1560. La partie restante portait son nom actuel dès le XVe siècle ; au XIIIe siècle, on la nommait rue Bailleheu, Bay le Hoeu ou Baillehoe. Vers 1273, elle devint rue de la Bouclerie ou de la Petite Bouclerie et, en 1512, rue de la Baudroierie ou de la Baudrerie."
IMPASSE DE CASTEGGIO,Victoire de l'armée franco-sarde (1859).,"Précédemment, impasse de Montebello ; antérieurement, passage de Montebello."
RUE DE BABYLONE,"Bernard de Sainte-Thérèse, évêque de Babylone, y possédait plusieurs maisons.","La partie la plus ancienne de la voie a porté primitivement le nom de rue de La Fresnaie. Au milieu du XVe siècle, elle était dénommée chemin de la Maladerie ; au milieu du XVIIe siècle, elle était appelée chemin de Guarnelles ou rue du Vieux chemin de Garnelles. En 1670, c'était la petite rue de Grenelle ; elle figure au plan de Verniquet sous le nom de rue de Babylone. La partie A a été ouverte sur l'emplacement de l'hospice des Petits-Ménages."
RUE COYPEL,"Noël Coypel (1628-1707) et son fils Antoine Coypel (1661-1722), peintres ; voisinage de la manufacture des Gobelins, à laquelle ils ont fourni des modèles.",
RUE CHRISTOPHE COLOMB,"Christophe Colomb (1436-1506), navigateur, a découvert l'Amérique ; voie située dans un quartier où ont été groupés des noms de navigateurs.",Ouverte par l'Assistance publique sur l'emplacement de l'ancienne institution de Sainte-Périne.
RUE EMILE DEUTSCH DE LA MEURTHE,"Emile Deutsch de la Meurthe (1847-1924), industriel ; fondateur de la Cité Universitaire.","Précédemment, partie de la rue Nansouty."
RUE MOLLIEN,"Nicolas François Mollien (1758-1850), administrateur et homme politique français, ministre du Trésor ; quartier où ont été groupés des noms d'hommes d'Etat.",Ouverte par la Ville de Paris.
RUE MICHEL-ANGE,"Michel-Ange Buonarotti (1475-1564), sculpteur, peintre et architecte italien.",
PLACE DE WAGRAM,Place située à l'extrémité de l'avenue de Wagram. Victoire de l'armée française sur les Autrichiens le 6 juillet 1809.,Elle a été comprise dans les routes départementales nos 3 et 6.
BOULEVARD KELLERMANN,"François Christophe Kellermann (1728-1820), duc de Valmy, maréchal de France.","Précédemment, partie de la rue Militaire. La rue Militaire a été remise conditionnellement à la Ville de Paris par le génie militaire en exécution d'une décision ministérielle du 28 juillet 1859."
RUE DE ROME,Capitale de l'Italie ; voisinage de la place de l'Europe.,"En 1945, le tronçon compris entre la rue de l'Arcade et les rues de la Pépinière et Saint-Lazare a pris le nom de place Gabriel Péri."
RUE DE L'OURCQ,Voisinage du canal de l'Ourcq.,"Précédemment rue Royale, dans la partie A ; rue Saint-Denis, entre l'avenue de Flandre et la rue de Cambrai, et chemin de Saint-Ouen, entre les rues de Cambrai et d'Aubervilliers. Cette dernière partie porte, sur le plan cadastral de 1812, le nom de chemin de la Croix de l'Evangile."
RUE FERMAT,"Pierre de Fermat (1601-1665), mathématicien français ; voisinage de l'Observatoire.","Précédemment, rue Neuve de la Pépinière."
RUE DOUDEAUVILLE,"M. de la Rochefoucauld-Doudeauville, sous-préfet de Saint-Denis.","Précédemment rue Dejean, entre les rues des Poissonniers et de Clignancourt et rue Doudeauville pour le surplus."
RUE DE L'AMIRAL DE COLIGNY,"Gaspard Châtillon, sire de Coligny (1519-1572), amiral de France. Un des chefs du parti protestant assassiné lors de la Saint-Barthélemy.",Précédemment partie de la rue du Louvre. L'ouverture de cette voie a entraîné la suppression de l'ancienne place du Louvre.
RUE LAROMIGUIERE,"Pierre Laromiguière (1756-1837), philosophe français.","Précédemment rue des Poules. En 1605, c'était déjà la rue des Poules ; plus tard, rue du Chataîgnier, rue Chastinière, rue du Mûrier dite des Poules en 1635."
RUE CAMILLE DESMOULINS,"Camille Desmoulins (1760-1794), écrivain et homme politique français.",
RUE DE L'ESPERANCE,,"Précédemment, sentier de la Butte aux Cailles."
RUE ANDRE ANTOINE,"André Antoine (1858-1943), metteur en scène, acteur et directeur de théâtre français. Fondateur du théâtre libre.","Précédemment rue Elysée des Beaux-Arts. Avant 1932, passage Elysée des Beaux-Arts. Il est indiqué sur le plan cadastral de la commune de Montmartre dressé en 1825."
PLACE AIME MAILLART,"Louis dit Aimé Maillart (1817-1871), compositeur.",
VOIE BM/16,,Bretelle de liaison aménagée à l'occasion de la création du boulevard Périphérique.
RUE ALBERT WILLEMETZ,"Albert Willemetz (1887-1964), auteur d'opérettes, directeur du théâtre des Bouffes Parisiens, président d'honneur de la SACEM.",Voie créée à l'occasion de l'édification d'un groupe d'habitations de la RIVP. Elle avait été provisoirement dénommée AW/20.
VILLA ALBERT ROBIDA,"Albert Robida (1848-1926), dessinateur, graveur, lithographe et littérateur français.","Précédemment passage des Annelets, plus anciennement partie de la rue des Annelets. Elle figure à l'état de chemin sur le plan cadastral de 1812."
RUE CHARLES TELLIER,"Charles Tellier (1828-1913), physicien français, inventeur du froid artificiel ; a demeuré dans le voisinage.",
RUE HENRY FARMAN,"Henry Farman (Paris, 1874-Paris, 1958), aviateur et constructeur d'avions français, d'origine anglaise.",Elle avait été provisoirement dénommée BO/15. Elle englobera l'ancienne partie de la rue Camille Desmoulins qui avait été ouverte sur l'emplacement de l'ancien champ de manoeuvres d'Issy-les-Moulineaux.
PLACE DU GENERAL STEFANIK,"Milan Stefanik (1880-1919), général slovaque, naturalisé Français, astronome et aviateur. Héros de l'Indépendance Tchécoslovaque.",Ouverte par la Ville de Paris sur l'emplacement du bastion 65.
AVENUE IBSEN,"Henrik Ibsen (1828-1906), littérateur norvégien.",Précédemment partie de l'avenue Gambetta (CGC n° 20 bis) située autrefois sur le territoire de Bagnolet annexé à Paris par décret du 27 juillet 1930. L'avenue Ibsen a été portée à son gabarit actuel à l'occasion de la création du boulevard Périphérique en 1969.
RUE DE LA PERLE,Enseigne d'un ancien jeu de paume.,Précédemment partie de la rue de Thorigny ou rue Tourigny et anciennement rue Tougin.
RUE DU DOCTEUR TUFFIER,"Théodore Marin Tuffier (1857-1929), chirurgien français des hôpitaux de Paris ; voisinage de l'hôpital de la Croix Rouge.",
RUE DE L'INGENIEUR ROBERT KELLER,"Robert Louis François Keller (1899-1945), ingénieur des travaux des PTT, intercepta des transmissions allemandes ; mort en déportation.","Précédemment partie de la rue des Entrepreneurs. Partie de la route départementale n° 10. La partie déclassée par l'arrêté du 22 mai 1974, entre le n° 20 et la place Charles Michels a été supprimée en 1975 par l'aménagement du secteur Beaugrenelle."
RUE DU GENERAL GUILLAUMAT,"Marie Louis Adolphe Guillaumat (1863-1940), général. Commandant en chef des armées alliées d'Orient (1917), gouverneur militaire de Paris (mai 1918), commandant en chef de l'armée française du Rhin (1924).",Ouverte par la Ville de Paris.
AVENUE DODE DE LA BRUNERIE,"Le vicomte Guillaume Dode de la Brunerie (1775-1851), maréchal de France, organisateur du camp retranché de Paris.","Ouverte par la Ville de Paris à la limite du bastion 66 sur l'ancien territoire de Boulogne-Billancourt, annexé à Paris par décret du 3 avril 1925."
RUE JACQUES IBERT,"Jacques Ibert (Paris, 1890-Paris, 1962), compositeur français.",Voie créée dans le cadre de l'aménagement du 9e secteur zonier. Elle avait été provisoirement dénommée AB/17.
AVENUE DU GENERAL MARGUERITTE,"Jean Auguste Margueritte (1823-1870), général, mort au champ d'honneur.",
RUE GEORGES AURIC,"Georges Auric (Lodève, 1899-Paris, 1983), compositeur français membre du ""groupe des six"".",Voie créée dans le cadre de la Zac `Manin-Jaurès`. Elle avait été provisoirement dénommée CF/19.
AVENUE DE FLANDRE,Commencement de la route nationale qui se dirige vers la Flandre.,"Précédemment rue de Flandre (partie de la RN n° 2). A porté les noms suivants dans l'espace de plusieurs siècles : chemin de Senlis, chemin de Louvres, chaussée de la Villette, chemin du Bourget, route de Compiègne et de Flandre, chemin pavé de la Villette. Sur le plan de Verniquet, grande rue de la Villette. Un arr. préf. du 24 juin 1907 avait dénommé avenue du Pont de Flandre la partie de la rue de Flandre comprise entre le pont du chemin de fer de Ceinture et le boulevard Macdonald. Un arr. du 18 décembre 1944 a attribué à cette partie le nom d'avenue Corentin Cariou."
RUE GOUTHIERE,"Pierre Joseph Désiré Gouthière (1732-1813), ciseleur-doreur français.",Ouverte par la Ville de Paris sur l'emplacement du bastion 85.
RUE FRANCIS CARCO,"François Carcopino-Tusoli, dit Francis (1886-1958), écrivain français.","Précédemment, passage de la Goutte d'Or. Partie du passage Doudeauville (actuellement rue Emile Duployé) avant l'ouverture du prolongement de la rue Stephenson (1886)."
RUE ERNEST GOUIN,"Ernest Goüin (1815-1885), ingénieur, conseiller municipal de quartier ; voisinage des anciens ateliers des Batignolles qu'il fonda.","Ouverte par la Ville de Paris, sur l'emplacement de l'usine Goüin."
PLACE DENYS COCHIN,"Denys Cochin (1851-1922), homme politique.",
RUE SAINTE-ANNE,Anne d'Autriche était reine de France lorsqu'on commença d'ouvrir cette voie.,"Le tronçon qui était compris entre la rue de l'Anglade (supprimée) et l'avenue de l'Opéra a été absorbé en partie par la rue de l'Echelle en 1866 et le surplus par l'avenue de l'Opéra en 1876. Ce tronçon, qui avait été ouvert en vertu d'un arrêt du Conseil du Roi du 23 novembre 1633 sous le nom de rue Sainte-Anne avait été appelé également rue des Moulins. La partie comprise entre les rues des Petits Champs et Saint-Augustin, indiquée en 1652 sur le plan de Gomboust, a porté, au XVIIIe siècle le nom de rue de Lionne ou de Lyonne. La voie entière s'appelait déjà rue Sainte-Anne sur le plan de Deharme (1763) ; elle reçut le nom de rue Helvétius de 1792 à 1814."
RUE EUGENE OUDINE,"Eugène André Oudiné (1810-1887), sculpteur et graveur sur médailles.","Précédemment, rue Watt prolongée."
PASSAGE HENRI GAILLARD,"Henri Gaillard (1871-1933), conseiller municipal du quartier.","Précédemment, passage de la Porte Dauphine (arr. du 8 février 1932)."
PLACE DU DOCTEUR ALFRED FOURNIER,"Jean Alfred Fournier (1832-1914), médecin syphiligraphe français ; voisinage de l'hôpital Saint-Louis.",
AVENUE DU DOCTEUR GLEY,"Marcel Eugène Emile Gley (1857-1930), français, professeur de physiologie à la faculté de médecine et de biologie au Collège de France.","Précédemment, partie de l'avenue Pasteur (CGC n° 20 annexe) située autrefois sur le territoire des Lilas, annexé à Paris par décret du 27 juillet 1930. L'assiette de l'avenue du Docteur Gley a été réduite à l'occasion de l'aménagement du boulevard Périphérique en 1969."
AVENUE FERDOUSI,"Ferdousi ou Ferdowsy, nom sous lequel est connu le poète persan Abol Ghassem Mansour (933-1020).",
ALLEE MARIUS BARROUX,"Marius Barroux (Paris, 1862-1939), archiviste ; il transforma complètement les archives de la Seine, de caractère presque uniquement administratif, en un centre important de recherches historiques. Auteur d'un ouvrage monumental intitulé ""Le département de la Seine et la Ville de Paris. Notions générales et bibliographiques pour en étudier l'histoire"", 1912 (prix Berger de l'Académie des Sciences morales et politiques).",
RUE MARYSE HILSZ,"Maryse Hilsz (1903-1946), aviatrice française.",Ouverte par la Ville de Paris.
AVENUE DE LA PORTE D'IVRY,Située en partie sur l'emplacement de l'ancienne porte d'Ivry.,"La partie A a été aménagée par la Ville de Paris sur l'emplacement des anciennes fortifications entre les bastions 89 et 90. Le surplus, précédemment partie de la rue de Paris (CGC n° 51), était situé autrefois sur le territoire d'Ivry-sur-Seine annexé à Paris par décret du 18 avril 1929. Une partie de ce dernier tronçon a été réaménagée lors de la construction du boulevard Périphérique en 1968. La partie située à l'intersection avec l'avenue Claude Regaud a été nommée place du Docteur Yersin."
RUE LEON JOST,"Léon Jost (1884-1941), industriel, otage fusillé par les Allemands le 22 octobre 1941 à Nantes.",Précédemment rue Roussel.
RUE LEON-MAURICE NORDMANN,"Léon-Maurice Nordmann (1908-1942), avocat, fusillé par les Allemands au mont Valérien.","Précédemment, partie de la rue Broca. Avant 1890, partie de la rue de Lourcine. Ce nom a souvent changé ; ainsi on a écrit : Loursine, l'Oursine, l'Orsine, l'Ursine, Lorcines (Jaillot). Elle a été aussi appelée rue du Clos Ganay et rue de la Franchise. Dheulland la nomme rue des Cordelières."
RUE PAUL-HENRI GRAUWIN,"Paul-Henri Grauwin (1914-1989), médecin, il fut en 1954 le chirurgien du camp retranché de l'armée française à Dien-Bien-Phu, pendant la guerre d'Indochine.","Voir créée dans le cadre de l'aménagement de la Zac `Chalon`. Cette voie a englobé le tronçon en impasse de la rue Jean Bouton, ainsi que le tronçon du passage Brunoy débouchant sur le passage Raguinot."
RUE LEROI-GOURHAN,"André Leroi-Gourhan (Paris, 1911-Paris, 1986), ethnologue et préhistorien français.",Voie créée dans le cadre de l'aménagement de la Zac `Dupleix`. Elle avait été provisoirement dénommée BT/15.
RUE JEAN CALVIN,"Jean Chauvin, dit Calvin (1509-1564), réformateur religieux et écrivain français.",Une longueur de 15 m à partir de la rue Mouffetard fut déclassée par l'arrêté du 5 avril 1975 puis supprimée.
